model,accuracy,precision,recall,f1,roc_auc,primary_score
Logistic Regression,0.574400,0.345242,0.998219,0.513043,0.761495,0.637269
Random Forest,0.749800,0.373518,0.168299,0.232044,0.752481,0.492263
