model,roc_auc,default_threshold,default_accuracy,default_precision,default_recall,default_f1,tuned_threshold,tuned_accuracy,tuned_precision,tuned_recall,tuned_f1
Logistic Regression,0.761495,0.500000,0.574400,0.345242,0.998219,0.513043,0.572596,0.633800,0.368107,0.879786,0.519044
Random Forest,0.752481,0.500000,0.749800,0.373518,0.168299,0.232044,0.267582,0.592000,0.351762,0.968833,0.516129
